id,user_id,name, address,phone,TIN,email
1,1,GAKI TRANSPORT CO.LTD,,,,
2,1,GAKI INVESTMENT CO.LTD,,,,
3,1,JAMBO OIL MILL & GINNERIES LTD,,,,
